Post,Label
"BMW M Ignite: Innovative new technology for S58 engines from BMW M.",technical_analysis
"The centrepiece of BMW M Ignite technology is the pre-chamber positioned within the cylinder head. It is connected with the cylinder's main combustion chamber by overflow openings. The pre-chamber has its own spark plug and ignition coil, meaning the engine has two ignition systems.",technical_analysis
"At low and medium revs, the conventional spark plug in the main combustion chamber fires before the spark plug in the pre-chamber. But when the engine is operating under higher revs and loads, the pre-chamber ignition takes over the lead role... The result is a significantly higher combustion speed.",technical_analysis
"Mercedes will turn the windshield into a giant screen and plaster the three-pointed star everywhere before doing any of this.",hot_take
"My take: mercedes doesn't have enough stars in their cars : they should project star on other cars and buildings using advanced 4k LED laser headlights",hot_take
"S+ mode makes the car perform significantly worse than just regular mode. Using the mode increases the 0-60 from 6.5 seconds -> 7.3 seconds.",technical_analysis
"C/D TEST RESULTS: 60 mph: 6.5 sec; 1/4-Mile: 15.3 sec @ 90 mph; 100 mph: 21.9 sec; Rolling Start, 5–60 mph: 7.9 sec; Roadholding, 300-ft Skidpad: 0.97 g",technical_analysis
"I just find it slightly odd that everyone is getting mad about S+ when enthusiasts have traditionally been a big fan of slow-car that feels fast fun, like to be clear the pricing is suboptimal to say the least... but the critic reception on that system has been generally positive",hot_take
"My 86 crx weighs about 1800lbs makes 78hp and a 0-60 of eventually. It's the ultimate go cart experience because I can rev it out to redline everywhere I go and I'm not going fast, but it feels like I am...",testimonial
"Having the engine detached from the wheels and revving up and down just to 'simulate' shifts isn't exactly engaging imo, it's just goofy.",hot_take
"Hot take: As price decreases over time (say 5-10 years from now), this is going to become a cult classic. It's panned now (for obvious reasons), but as the main complaint of price comes down, its got all the trappings.",speculative
"The scream of a naturally aspirated V10 and the haptic feedback of a gated manual are special because they're real, mechanical experiences — not some fake gimmick or fidget toy.",hot_take
"Sports cars are meant to engage in the sport of driving. Not the drudgery of commuting, not the high-stakes world of Cars and Coffee, not the thrills of a concours.",hot_take
"Today's automatic and CVT gearboxes are tuned for fuel efficiency by default. Throttle-by-wire response is muted purposely for the same reason. It's harder to get the same numbers out of a manual on the EPA's testing regime...",technical_analysis
"The real issue is that there are no car enthusiasts in charge at Ferrari and its pretty obvious at this point. They are ceetainly design-by-committee at this point.",hot_take
"The single clutch automated manuals are a pain to drive in regular traffic. You also have to baby them like a real manual to avoid burning out the clutch.",testimonial
"McLaren quietly addressed the disadvantage of the computer-controlled DCT, with a feature branded 'precog'. That let the driver tell the DCT whether the next shift was going to be upward or downward, without needing the drivetrain computer to 'guess' with 'AI'.",technical_analysis
"There is no practical reason you would buy a ferrari. EV or not. Ferraris are toys you buy to play with (or lock in a garage).",hot_take
"I've owned a Z4 M40i (EU spec, I live in Europe) for 5 years. ... I adore this car just like I adore my Z4.",testimonial
"the Supra's suspension seems more reluctant to compress (particularly obvious when accelerating, as the car squats less) and gives you more confidence on corner exits than the Z4 does, but I'd never describe it as harsh over bumps.",testimonial
"the Supra's gearbox tuning is noticeably smoother, contrary to what a lot of people seem to say online. This is VERY welcome in Comfort... because there's no head bobbing going on compared to the Z4.",testimonial
"The Z4's gearbox is more aggressive everywhere. In Comfort you still get some head bobbing going on (especially between 1st and 2nd)... But in Sport Plus it becomes very welcome, because the shifts feel much more satisfying.",testimonial
"the steering in these 2 is better than other modern BMWs. I've driven an M340i (2022), a 440i (2018) and an M135i... and they were all really awful... They're almost completely dead...",testimonial
"Confidence = control, and as the bard said 'if you feel in control, you're not going fast enough.' I had far more fun sliding my FJ Cruiser around back roads than I have driving my e-Tron GT.",hot_take
"From the Side, China's New Ultra-Luxury Sedan Could Almost Pass for a Rolls-Royce. From the Front, It Looks Like a Demented Cartoon Character",hot_take
"Looks like a GTA knockoff of a Rolls.",hot_take
"I think it looks cool. Call it overstyled if you want, but it looks better than the 7 Series and anything with massive Mercedes emblems in the lights.",hot_take
"Most and least reliable cars with the lowest / highest repair costs long-term, age 3-15 years, data from a warranty provider, they know exactly how much they pay for each model and what issues they pay for",technical_analysis
"the precious gen merc gle/gls base & ttv6 the 7g was dead reliable, up there w the b58's reputation now. the v8 had issues. then all the cars had major mild hybrid issue . now they're fine",technical_analysis
"The most problematic Kia motors are the 2.0L and 2.4L Theta II gasoline direct injection (GDI) engines, which are infamous for catastrophic failure, bearing wear, and severe oil consumption... found in numerous 2011–2019 models.",technical_analysis
"As someone who owns a decade old Kia, and has relatives with models that are 15-20 years old with well over 200k miles. I'll say that as long as you're proactive with maintenance, they'll last",testimonial
"Land Rover owners that I know... don't seem to have a negative perception of their vehicle's reliability. They take it to the dealer on a schedule, they get a loaner... and getting stranded is not common.",testimonial
"Rocketeer Mazda MX-5 review - the 340bhp V6 sports car you never knew you needed",testimonial
"I think the most impressive thing about this article is squeezing 340BHP out of a Duratec 30. I have to wonder why they've doubled down on the Duratec, when no doubt all of the work they've done to it doubles the price compared to a bone stock LS.",technical_analysis
"they are using the longitudinal Jaguar variant of the Duratec... bellhousing is different, coolant inlets are for longitudinal mounting, different cylinder heads, ect. They do share a shortblock rotating assembly - but thats all redone...",technical_analysis
"We should limit Miata posts to like 1 a week.",hot_take
"Subaru will compete with an official WRX STI Hatchback in the 2026 Super Taikyu Series. The car enthusiasts have wanted for a decade is being teased.",speculative
"Subaru has a long way to go to reclaim trust from me.",hot_take
"I'm sitting in a 14 wrx that's gone through 5 turbos because of an engineering flaw. Same. Can't wait to get rid of this thing.",testimonial
"Subaru ownership has made me a pretty decent mechanic.",testimonial
"I'm disappointed because I can't buy an STI hatch in the US. I wanted one since 2012... It's a cycle of about 15 years of disappointment.",testimonial
"The next STI's engine is being tested starting at the beginning of the year, which usually takes 1 year before going into production, so it should be announced by the end of the year.",speculative
"The FA24 is very capable. Much more reliable than the previous EJ's and can make a lot more power reliably. They've been hitting 400WHP with only E85 and a dyno tune.",technical_analysis
"The production car with the highest speed in the quarter mile: Jesko Absolut",technical_analysis
"8.5 at 186mph with a 2.35 0-60mph. That is fucking nuts when you consider that the 0-60 isn't that crazy for a car at the quarter, but holy fuck does it put power down after that 60",technical_analysis
"seeing these cars that cost more than a jet plane be that fast isn't impressive. A Plaid or Sapphire doing 99% the same performance for a 40x lower price is impressive",hot_take
"What is a weird vehicle you would bring back for a new generation from a current manufacturer? My votes are the Honda Element, and the Mercedes-Benz R-Class (especially the R63 AMG).",speculative
"SVX with a manual and normal windows",speculative
"the baja is such an underrated pick... I feel like it would sell really well in current market with all the crossover craze going on",speculative
"The rumors that the new MR2 will cost like 100k and have AWD make me sad as that's not what the MR2 was ever about. It was always supposed to be Toyota's entry level sports car, and be small and be a blast to drive on your way to work",speculative
"Other new technical features alongside the pre-chamber ignition include a higher compression ratio and turbochargers with variable turbine geometry.",technical_analysis
"BMW M Ignite technology boosts the efficiency of the six-cylinder in-line engines dramatically, especially when the engine is being pushed to its limits.",technical_analysis
"Under high loads, fuel consumption drops substantially. This is particularly beneficial for BMW M customers who drive their cars on race circuits.",technical_analysis
"Pre-chamber ignition that allows for a higher compression ratio and 'dramatically' increased economy under high loads due to higher combustion speeds.",technical_analysis
"What do you get from that? More ignition points in the main chamber, more homogeneous combustion, leaner mixtures possible at partial loads.",technical_analysis
"Higher compression ratio — 11:1 — which on a twin-turbo engine of this output is a remarkable figure.",technical_analysis
"According to Maserati's own patent, the system allows for 30% less fuel consumption or a 25% smaller engine with equivalent performance.",technical_analysis
"I think this probably overstates it. I would expect like 8-10% fuel economy real world. 25% on track where you're just hammering the shit out of the engine at WOT constantly.",technical_analysis
"You should also include variable geometry turbo in your TL;DR. For Diesel vehicles we had it for a while, because exhaust gases are cooler. But for gas vehicles, it is a relatively new technology.",technical_analysis
"The 911 had variable geometry turbos since the 997 gen Turbo, that isn't really a big advancement.",hot_take
"Isn't displacement defined as difference between cyllinder volume when piston down and piston up multiplied by number of cyllinders?",technical_analysis
"Fascinating to see this technology finally making it to mainstream, especially in response to Euro 7 emissions requirements.",technical_analysis
"Twin Spark 2: Electric Boogaloo",hot_take
"Indirect injection diesels with pre combustion chambers from <1980s were ahead of the curve",hot_take
"It's interesting that they don't have a 2nd fuel injector for the pre-chamber. I would've guessed that would be helpful for fuel economy as you can have two different air-fuel ratios.",technical_analysis
"This would mean the pre-chamber can run richer and generate a more powerful flame, whereas the main combustion chamber can run leaner without higher temperatures.",technical_analysis
"Call me when it doesn't need thousands of dollars in repairs by 60k mi.",hot_take
"Don't try to shove some EV up my 4ss telling me that is how I save the environment. More efficient ICE and eventually sustainable fuels is where the future is for enthusiasts.",hot_take
"I'm so glad the 'Toyota or bust' purist supra boys got the partnership axed right before. Now the next supra will be a V8 and while that's cool, its not a supra anymore.",hot_take
"Supra will be lucky to have more than 4 cylinders and that's not a joke.",speculative
"I'm excited by the Neu Klasse EVs coming down the pipe from BMW. Introducing another complicated ICE technology for negligible incremental efficiency and added cost, not so much.",hot_take
"Great, more complex parts to break when the car is 15 years old.",hot_take
"Unless the technology becomes so standard and commonplace so it's just standard maintenance. Your type of reaction is exactly how many felt like about the introduction of fuel injection and yet here we are.",hot_take
"Results above omit 1-ft rollout of 0.3 sec.",technical_analysis
"100 mph: 21.9 sec",technical_analysis
"Braking, 70–0 mph: 152 ft; Roadholding, 300-ft Skidpad: 0.97 g",technical_analysis
"Interestingly, C/D's long-term 1997 Prelude SH , with 195 horsepower and a five-speed manual, hit 60 mph in 6.9 seconds and ran the quarter-mile in 15.4 seconds at 90 mph.",technical_analysis
"I would have absolutely loved this car at $38k or whatever it was supposed to be, I hope as conflicts get resolved in the coming years more manufacturers try to cater to the love of driving",speculative
"the options, at least for any global product for the time being, are like a 1.5t without assistance & w/ significant rev hang (& I hate that engine), or assistance & electromechanical & simulated systems to make up for the feel & out of those two I'd choose the latter",hot_take
"the time is ticking for them [86, M2, Z4] too, in many markets already the M3 + associated fines pushes the MSRP up to the new RS5 or sometimes even M5 levels",speculative
"I think the ' slow car fast ' enthusiasm comes from driving that hypothetical slow car as fast as its platform/powertrain/tuning will allow, which is fun. The new Prelude's S+ mode takes the exact same hardware and artificially slows it down using software, which is not fun.",hot_take
"I owned a 5th gen, and I assure you watching an accourd V6 of the same year slowly walk you on a roll made you wonder how this was supposed to be the 'sportscar' even then.",testimonial
"it feels like I am because I'm in what's basically a thin sheet metal box that would likely result in my death in even a minor accident",hot_take
"I say this as someone who is in the process of trading their M2 for a GR86 MT because I'm bored of the DCT after less than a year.",testimonial
"That's insane that such a minor interruption to the power with the simulated shifting has such a big impact on the acceleration.",hot_take
"mid-6s and low-15s are perfectly acceptable for a car of this nature. It isn't trying to actually be a sports car, at most it is a sports compact.",hot_take
"The issue is you can get a new 230i for the same price, which is also more of a GT car like the Prelude gets to 60 in 5.1 seconds, with a 13.7 quarter mile time.",technical_analysis
"Your enclave is almost as fast as the prelude lmao",hot_take
"My accord is significantly quicker.",hot_take
"The four speed auto had massive gaps between VTEC range (an issue that existed with the 5 speed as well) so you'd drop out of the power band on every slow ass slushbox shift.",technical_analysis
"I'm not sure why they wouldn't at least try to achieve a sub-6 second 0-60 for a premium 'sporty' car. My pickup truck is quicker than this thing. I don't get it.",hot_take
"Awesome, in 30 years Honda has brought down the 0-60 by 0.4 seconds and beat the 1/4 mile time by 0.1 seconds... while removing nearly all of the things that made the 30 year old car fun.",hot_take
"I'd honestly attribute the slight improvement to modern tire technology and nothing else",technical_analysis
"they're trying to make it wear like 5 hats at once, and 'fast' and 'economical' are things that are generally mutually exclusive",hot_take
"Honda Fit is a hatchback , Civic has a liftback regardless of what they call it.",hot_take
"Significantly slower than the civic hybrid. 50-70mph is rough.",technical_analysis
"How did they even manage that. Adding 4 seconds to the 0-100 time in a car with the same drive train and weight is honestly impressively bad.",hot_take
"Honda has to bump the power up for the Prelude next year or lower the price.",speculative
"They will add 13% stiffer sway bars instead.",hot_take
"accounting for inflation, that '97 Prelude SH's $26,095 sticker equates to $52,785 today",technical_analysis
"6.5 0-60 for a $45k sports car is certainly a time",hot_take
"It's ten grand more than similarly equipped civic hybrid. Very few of your common consumers are going to pay ten grand more for what it's basically lipstick",hot_take
"Slower than our 5,000 lbs Lexus minivan.",hot_take
"I love the idea of a hybrid coupe. If my wife and I didn't have kids, it would be a great GT for road trips and date nights.",testimonial
"Kudos to C&D for empirically showing how stupid fake shifts are.",hot_take
"Type R's, WRX's, SER's, SRT-4's, S2000's and even Supra's, RX7's, Z's and Mustang's before recently and so on were all between like 6 and 5 seconds stock.",technical_analysis
"That being said, if I wanted to buy a manual it would not be a car with the equivalent of a child's toy steering wheel taped to the floor.",hot_take
"The different design patterns of the hybrid 296/Artura, F80, Porsche 918, have a lot of engineering merit. Putting electric traction motors on the front gives you AWD without driveshaft or transmission complications",technical_analysis
"Designs with a single motor attached to a conventional transaxle, are effectively combining existing starter and alternator motor-generators into one, and using it for more traction power instead of dead weight.",technical_analysis
"Talking about how much one loves the experience of a manual when one barely drives is performative.",hot_take
"Enthusiast cars are expressions of aspiration, prestige, and community. In that sense, they're not all that different from other luxury products like designer clothing or Swiss watches.",hot_take
"I'd rather have an authentic EV drivetrain experience (instant torque, seamless acceleration, and near silence) than drive around in a scaled up toy with fake gear shifts and artificial vroom vroom noises.",hot_take
"I'd honestly feel embarrassed 'revving' a fake engine while cruising through the streets... It's the absolute epitome of cringe.",hot_take
"Toyota and Subaru have sold a manual NA Boxer coupe for a decade. I think Ferrari can find a way to put an NA Manual into something.",speculative
"Look how they massacred my boy",hot_take
"Just buy the real thing. Digital will never feel as good.",hot_take
"On the one hand, I can understand why they're trying to develop this into their EVs, because let's face it eventually EVs will replace ICE vehicles.",speculative
"There is no practical reason why you would buy a Ferrari EV. Over say a Kia EV6 GT.",hot_take
"Ferrari just needs to make some lame EV crossover to sell to soccer moms to cook the books and meet emissions requirements. And then release real NA V8 sports cars for the true enthusiasts.",speculative
"EVs are inherently more practical than ICE vehicles in a lot of ways, but this does not matter because a ferrari is an inherently impractical product.",hot_take
"Much like horses, in time, ICE vehicles may also become a hobby for personal enrichment rather than a practical mode of transport.",speculative
"Ferrari's cars were never practical to begin with, so ICE vehicles becoming impractical has no bearing on their success.",hot_take
"supercars always wanted the best and fastest... All the cars got the single clutch automated trans and E gear and they all sucked so technology pushed through until we got bulletproof and reliable DCTs",hot_take
"A DCT that you can thrash on the track endlessly then put it in automatic and it behaves completely docile on the street and requires no maintenance other than occasional fluid changes ... That was basically science fiction not that long ago",hot_take
"Two clutches mean that you have one engaged, and then either an upchange or a downchange queued, but not both.",technical_analysis
"The manual 360s are always priced higher than the 'F1 automanual' 360s.",technical_analysis
"When I'm getting a manual car again it'll be a drivers car from the 90s or 2000s. That was the peak for me.",testimonial
"Automated manuals always could have and should have been the best of both worlds. People talk about 'mechanical connections,' but what they're actually looking for is an experience that demands finesse in the way they're used to, and that's every bit as possible with a clutch-by-wire system.",hot_take
"Electronic throttlebodies move with enough speed and precision that you don't notice the difference. I'm also calling bullshit on the concept of 'mechanical feel' as it pertains to manual gearboxes. There's no real feedback through the clutch pedal in any car",technical_analysis
"Clutch-by-wire could absolutely let you do all of that if the actuator is tuned to follow the clutch pedal just like electronic throttlebodies are tuned to follow the gas pedal.",speculative
"If clutch-by-wire sparks a resurgence in manual options in cool cars, by reducing engineering and production costs, I think that's good.",speculative
"They're [younger enthusiasts] not as turned off by the idea of a car that can have no gears and instant torque in one mode, and simulate a manual transmission in the next one because that's what these games have been letting them do",hot_take
"They've taken a company that had long since lost its romance and original vision... And turned it into a clown show and mockery of the entire idea of a company ethos.",hot_take
"The mechanism described in the patent reminds me of the adjustable springloaded cam-profile systems seen on the gimbals of high-end flight sim control sticks.",technical_analysis
"So I could 'stall' my EV without a gas engine? Unless it's performing a real function, it's a useless imitation of what I actually drive something with a clutch pedal for.",hot_take
"Ferrari Is Planning 5 New Model Debuts for 2026",technical_analysis
"Ferrari Declares 'The V6 Is Superior to a V12'",hot_take
"Pininfarina released what should have been the Ferrari EV four years ago",hot_take
"Hot Take: Corvette should return to Front Engine, RWD, Thunderous V8",hot_take
"I've owned a Z4 M40i (EU spec, I live in Europe) for 5 years.",testimonial
"The damping difference between Comfort and Sport was smaller than the difference between the Z4's Comfort and Sport Plus",testimonial
"The Z4 without a doubt has the more playful back end, and I'm having difficulty understanding why some people argue the opposite.",testimonial
"Is it possible the suspension changes Toyota made in 2021 to fix the infamous bump steer issue might have affected how tail happy the car is?",speculative
"It felt like I had to work the Supra harder to get the back end to play, whereas the Z4 more easily gives me hints that it wants to alt-f4 into the bushes.",testimonial
"the Supra is the more confidence-inspiring and serious car. The Z4 is the more dramatic, aggressive and playful car.",testimonial
"I absolutely adore both these cars, and I'm genuinely sad to see them get discontinued.",testimonial
"convertibles are close to the perfect form factor. The capability of all modern performance cars makes them boring for dynamic driving at road speeds IMO.",hot_take
"My ND doesn't have this problem because Mazda is god, but my 360 and I imagine many other convertibles do",hot_take
"The aural feedback is actually a bit muted. Wind noise drowns out exhaust, lack of a cabin cancels out all resonance.",technical_analysis
"$59,595 for a base manual Supra 3.0, $73,250 for a base manual Z4 M40i.",technical_analysis
"the Supra tends to be about 5k more expensive than the Z4 on average. It's one of the main reasons I got one.",testimonial
"I just drove a 2014 S-Class that has decent EPS which is just crazy compared to BMW. I rented an M235I like 5 years ago for my birthday weekend and ended up googling 'M235I sucks' because of the steering situation.",testimonial
"the lack of connection and not knowing where you're at was a killer. Sucks because I was a hardcore E39 guy for like a decade.",testimonial
"I tried the 2014 S-Class and the steering is awesome for a lux barge, gonna buy one for my commute",speculative
"I tracked a GR Supra for four years and definitely had the same thoughts in the steering department, it's just dull modern BMW steering.",testimonial
"I went full spherical bearings on the front end and it still wouldn't hold a candle to a 20 yr old sports car.",technical_analysis
"The 718 GTS steered way better, more usable street power and even sounded great much to my surprise.",testimonial
"I rented a base Cayman and I enjoyed the hell out of it. Sounds like a mini V8 to me, plus the 7250RPM redline goes brr.",testimonial
"I had far more fun sliding my FJ Cruiser around back roads than I have driving my e-Tron GT. Hell, I have more fun in my $400 2006 police surplus Ford E-150: it's loud, it never feels stable, the back end gives out without warning, and you're constantly in danger of doing a barrel roll, but it's FUN.",testimonial
"If anything it seems like the EPS tuning has gotten worse and more numb over time.",hot_take
"I ended up buying a secondary car this past week (a 1 Owner 2016 A6 3.0T Supercharged Sedan with 56k miles).",testimonial
"I find it annoying that people are calling an unavailable variant of the Mustang GTD's laptime with slicks and driven by a GT driver (IIRC) a legitimate case against the ZR1's own.",hot_take
"I feel the Supra mk5 does really nice as a wide-body platform",hot_take
"From the Side, China's New Ultra-Luxury Sedan Could Almost Pass for a Rolls-Royce. From the Front, It Looks Like a Demented Cartoon Character",hot_take
"Looks like a GTA knockoff of a Rolls.",hot_take
"The designer for the Guoya is Giles Taylor… who is the former design chief for Rolls-Royce. Not kidding.",technical_analysis
"No angry headlights, in this economy? Awesome, we need more cars with the :D front end treatment.",hot_take
"It really doesn't look worse than some of the recent 'gaping grill' BMWs. The styling is 100% what I expect from a Chinese manufacturer.",hot_take
"Chinese EVs you'd see most of them don't have any grilles at all. Hongqi is one of the legacy OEMs (they literally made the limo for Mao) so they are just going on with their legacy design.",technical_analysis
"Wow that is slick! Man did the Chinese really up their game in the design dept in a few short years.",hot_take
"That's the Lincoln Maybach Royce.",hot_take
"Front looks like a Ford Scorpio II",hot_take
"Good heavens, that thing is going to eat whatever unfortunate pedestrian falls in front of it",hot_take
"I'd love to drive the V-8 and see how it compares all-around to the Maybach S580 and Toyota Century.",speculative
"I've daydreamed about the Hongqi H9 getting a full redesign on their RWD platform and a top end version with their twin-turbo V-8.",speculative
"Someone needs to help them with brand and model names. They're so awful",hot_take
"Dove soap bars when I look at them",hot_take
"I think it looks cool. Call it overstyled if you want, but it looks better than the 7 Series and anything with massive Mercedes emblems in the lights.",hot_take
"I've seen it in person. It 100% can go toe to toe and in my opinion beat the pants off of Rolls Royce",hot_take
"I don't see this meaningfully taking market share from Huawei's Maextro S800... the standard-bearer of current-day Chinese ultra-luxury",hot_take
"they're coming out with a Grand Design variant this month that will be much more of a direct competitor.",speculative
"it looks much better than current Rolls Royces. Not very hard to achieve since modern RRs look absolutely stupid",hot_take
"The side profile is literally a maybach",hot_take
"New Jaecoo 9 flagship will be bigger than a Range Rover, and almost as luxurious",hot_take
"A Chinese Automaker Just Unveiled 'The Most Advanced Car In History'",hot_take
"Rolls-Royce puts EV plans on ice, with V12 engines to remain... For now",speculative
"the precious gen merc gle/gls base & ttv6 the 7g was dead reliable, up there w the b58's reputation now.",technical_analysis
"I think the bulk of the Hyundai/Kia hate can be attributed to one line of their 4-cylinders being notoriously problematic and the inertia of their perception as cheap/disposable cars.",technical_analysis
"Their V6s, 8-speed autos, and CVTs haven't had significant scandals afaik.",technical_analysis
"The most problematic Kia motors are the 2.0L and 2.4L Theta II gasoline direct injection (GDI) engines, which are infamous for catastrophic failure, bearing wear, and severe oil consumption.",technical_analysis
"Kia Sorento (2011-2014, 2016): Reported rod bearing issues.",technical_analysis
"As someone who owns a decade old Kia, and has relatives with models that are 15-20 years old with well over 200k miles. I'll say that as long as you're proactive with maintenance, they'll last",testimonial
"I find it wholly unsurprising that Land Rover dominates the least reliable car index.",hot_take
"Land Rover owners that I know... don't seem to have a negative perception of their vehicle's reliability. They take it to the dealer on a schedule, they get a loaner that is also a Land Rover, they pay what it costs, and getting stranded is not common.",testimonial
"Basic, low-tech commuter cars and work vehicles are the most reliable while complicated tech-heavy luxury flagships are the least reliable. color me shocked.",hot_take
"Luxury usually means cutting edge engine technology for increased smoothness, power, etc. Of course, cutting edge is the opposite of tried and true",hot_take
"Detroit clearly know how to make their large trucks simper and easier to maintain.",hot_take
"Has anyone owned a Honda lately? I'd be curious to see if their reputation for longevity still holds up with newer models post-2010.",speculative
"Aren't all cars now not total pieces ?",hot_take
"Toyota Yaris: 89.2; Kia Picanto: 86.8; Toyota Aygo: 83.8; Toyota Rav-4: 79.9; Peugeot 108: 78.9",technical_analysis
"Land Rover Discovery: 17.2; BMW 7 Series: 18.7; Mercedes-Benz S-Class: 19.2; Audi A7: 19.2; Range Rover Velar: 19.7",technical_analysis
"Which car brand has no redeeming quality ever (either in car history or in racing history)?",hot_take
"What's the most reliable cheap car you've actually owned long term?",testimonial
"How is it 'one of 2026's unexpected driving hits' when they've been around for at least 10 years?",hot_take
"I think the most impressive thing about this article is squeezing 340BHP out of a Duratec 30.",technical_analysis
"I cant imagine there arent easier ways to get ~350ish HP into a NB even if you wanted to keep the V6, like a mildly warmed over J35 with J32A2 heads",technical_analysis
"except they are using the longitudinal Jaguar variant of the Duratec... block (bellhousing is different), coolant inlets are for longitudinal mounting, different cylinder heads, ect.",technical_analysis
"The Duratec is surprisingly rev happy. I have one in my 2012 Fusion and wish I could swap engines between it and my NC Miata.",testimonial
"Is there something similar for the NC Miata ? It's a big bigger with an overbuilt RX8 suspension, I bet it would be a better fit for something like this than the NB.",speculative
"You're better off getting the 2.5L ford Duratec engine which gets it to 170-180bhp and then dumping a supercharger. Way better in terms of outright power and torque",hot_take
"LFX v6 on e85 will really scoot",hot_take
"While there are LS swap kits for it... you're probably better off putting a turbo or supercharger on the NCs 2.5L. This will keep the weight better balanced.",hot_take
"I like the idea of being able to drive at 8/10ths on the street without the risk of going to jail.",testimonial
"We should limit Miata posts to like 1 a week.",hot_take
"2026 Mazda MX-5 Miata: Pricing and Packaging",technical_analysis
"Thinking about joining the MX-5 family - What do you wish you knew before getting yours?",speculative
"I Bought A Mazda MX-5 And Now I Finally Understand Why Miata Is Always The Answer",testimonial
"Subaru has a long way to go to reclaim trust from me.",hot_take
"I'm sitting in a 14 wrx that's gone through 5 turbos because of an engineering flaw. Same. Can't wait to get rid of this thing.",testimonial
"Subaru ownership has made me a pretty decent mechanic.",testimonial
"Yup over the last 6 months the dealer has had our crosstrek longer than we have",testimonial
"I'm disappointed because I can't buy an STI hatch in the US. I wanted one since 2012... It's a cycle of about 15 years of disappointment.",testimonial
"Truly the biggest bunch of non-car fans gathered in one place.",hot_take
"The title is pretty misleading. They built a race car based on the Impreza. Its not really a WRX, and they don't call it that.",hot_take
"The next STI's engine is being tested starting at the beginning of the year, which usually takes 1 year before going into production, so it should be announced by the end of the year.",speculative
"The MSRP of the 04-07's was around 35K, which would be 55K-ish today.",technical_analysis
"As long as it's under 60K, it will sell.",speculative
"The FA24 is very capable. Much more reliable than the previous EJ's and can make a lot more power reliably. They've been hitting 400WHP with only E85 and a dyno tune.",technical_analysis
"WRX always was an Impreza… from 1994 until 2014. It was an Impreza, with a sub-model called WRX. Then there additionally was an 'STI Version.' They only divorced the name into its own model with the VA chassis.",technical_analysis
"There is no indication in this article or anywhere else that Subaru will actually produce this car, or anything like it, for the public.",speculative
"I WILL BE AT THE DEALERSHIP WITH A CHECK IF THIS GETS GREENLIT",speculative
"there's no guarantee a production car will come from this. a lot of the manufacturers use this purely for testing and regular R&D.",speculative
"I've had a 2013 sti hatch since new. This finally looks like its spiritual successor, looks awesome",testimonial
"JUST MAKE THE FUCKING CAR ALREADY CHRIST",hot_take
"Manufacturers don't make money with enthusiasts, they make money with suv.",hot_take
"Subaru is not calling it a WRX STI they are calling it HIGH PERFORMANCE X VersionⅡ because it is just a racecar...",hot_take
"The BRZ-bodied GT300 car with a twin-turbo H6... whose guts are based on an EG33... is much more fascinating.",technical_analysis
"I'm holding my breath until I see a production STI Hatchback that I can buy in the states.",speculative
"One of the few cars I've seen that looks significantly worse in racecar trim",hot_take
"Man I could really be convinced to trade my sti hatch in for one of the steering feel is just as good as my car.",speculative
"Can we please just get the regular WRX in a hatchback? It's like they want to push us to SUVs",hot_take
"The WRX STI is officially back, Subaru confirms the long awaited model will be returning in 2027. Will be using the TY85 Manual transmission from the previous STI Models.",technical_analysis
"Oh boy, a crazier Jesko?!?",hot_take
"Its the same jesko absolut as every other, but with an updated control of shifting / traction control / suspension set up, which customers will get over the air as an update",technical_analysis
"8.5 at 186mph with a 2.35 0-60mph. That is fucking nuts when you consider that the 0-60 isn't that crazy for a car at the quarter, but holy fuck does it put power down after that 60",technical_analysis
"Its 2.35 seconds 0-62mph which translates to 2.1-2.2 seconds 0-60MPH. Pretty impressive for an RWD car",technical_analysis
"production car lol $4 mil.",hot_take
"Honestly seeing these cars that cost more than a jet plane be that fast isn't impressive. A Plaid or Sapphire doing 99% the same performance for a 40x lower price is impressive ( with 2.5x more seats )",hot_take
"Lightning Lap 2026: The Hottest Cars on America's Toughest Track",technical_analysis
"What is a weird vehicle you would bring back for a new generation from a current manufacturer? My votes are the Honda Element, and the Mercedes-Benz R-Class (especially the R63 AMG).",speculative